article_url,all_names
https://canadiandimension.com/articles/author/pam-palmater,"Justin Trudeau,329;First Nation,2729;Turtle Island,3200;Reconciliation Commission,3961;Murray Sinclair,3982"
https://www.cbc.ca/news/canada/newfoundland-labrador/mamka-report-salmon-1.5417664,"Fortune Bay,63;Conne River,240;Little Burdock Cove,535;Fortune Bay,550;Mi'kmaq Alsumk Mowimsikik Koqoey Association,733;Northern Harvest Sea Farms,962;Northern Harvest Sea,1627;Northern Harvest,2877;Northern Harvest,3026;Fortune Bay,3275;Qalipu Mi'kmaq First Nation Band,3432;Miawpukek First Nation,3463;Corner Brook,3497;Conne River,3513"
https://edmontonsun.com/news/rural-albertans-gather-for-anti-racism-protest-in-innisfail/wcm/44228d80-375c-4937-8c3d-3a440a703f17,"Innisfail Saturday,152;George Floyd,697;Teresa Marie Cardinal,730;Saddle Lake Cree Nation,772;Red Deer,791;United States,1325;Rodney Levi,1808;New Brunswick Indigenous,1840;Mi'kmaq Nation,1868;Jean Barclay,1959;Brittany Bovey,2070;Black Lives Matter-inspired,2137;Dieulita Datus,2737;Colin Kaepernick,3048;Red Deer,3470;United States,3555;Adora Nwofor,4763;Alberta Premier Jason Kenney,5489;Black Albertans,5674"
https://www.brantfordexpositor.ca/news/local-news/number-of-police-street-checks-drops-significantly,"Brantford Police Association,100;Brantford Police Service,193;Richard Paolini,465;Mark Baxter,875;Independent Police Review,2291;Brantford Police Services,2397;Larry Reynolds,2930;Lynn Van Every,2963;Robert Male,3008;William Street,3064;Coby Carter,3096;Colborne Street West,3183;Sarah Street,3296;Strawberry Lane,3388;West Brantford,3542;Galaxy Motel,3777;Independent Police Review Director,4120;Indigenous Peoples Cultural Safety,4661"
https://www.chatelaine.com/living/politics/5-ways-to-make-sex-work-safer/,"Sarah Boesveld,39;Marylene Levesque,622;Ashley Arzaga,640;Quebec City,928;Eustachio Gallese,992;Youth Criminal Justice,2114;John Tory,2370;Chanelle Gallant,2570;Migrant Sex Workers,2639;Stephen Harper,3091;Supreme Court,3166;Exploited Persons Act,3364;Elene Lam,4880;Butterfly Asian,4913;Migrant Sex Workers Network,4945;National Parole Board,6577;Registered Massage,9258;John Dziadyk,9554;Mona Forya,9813;Murdered Indigenous Women,10168;Girls Inquiry,10186;Moon Perrin,10568;Robert Pickton,10895;Canadian Alliance,11265;Sex Work Law Reform,11289;Criminal Code,11548"
https://lfpress.com/life/fashion-beauty/all-for-a-good-cause-purpose-led-brands-aim-to-put-philanthropy-first/wcm/b594acc5-d8d8-421e-86fa-c0c1f0fc8734,"Treana Peake,552;Obakki Foundation,1110;Obakki Foundation,1231;Bidi Bidi,1617;Obakki Foundation,2307;Bidi Bidi,2366;One Girl Can,2785;Girl Can,2894;Lotte Davis,2925;South Africa,2988;One Girl Can,4298;Firewall Flat Iron Spray,4551;Like Peake,4620;Ontario-based Cheekbone Beauty,4804;Reconciliation Committee Final Report,4975;First Nations,5103;Warrior Women,5477;Buffy Sainte-Marie,5592;Bethany Yellowtail,5665;Attawapiskat First Nation,5700;Shannen Koostachin,5744;Indigenous-education-focused Shannen,5972;Dragons Den,6111;Emily Paul Scholarship Fund,6354;Taya Hawes-Puiu,6516;Karen Johnson,6590;K'Pure Natural Body,6632;Greta Thunberg,6667;Polar Bears,6816;Arctic Bath Soak,7007;Arctic Mist,7023;Palo Santo,7369"
https://www.mondaq.com/australia/Government-Public-Sector/898614/Waanyi-Nation-declares-its-independence-to-run-its-own-economy,"Aboriginal Nation,31;Waanyi Nation,261;Waanyi Nation,351;Waanyi Governing Tribal,507;Native Title Act,760;Waanyi Nation,1374;Waanyi Nation,1691;Treaty Council,1774;Sydney Criminal,2110;Northern Territory,2215;First Nations,2556;Lawn Hill,2608;Tribal Lands-Waanyi,2987;Native Title Tribunal,3735;High Court,4357;Waanyi Nation,4640;Mornington Island,5798;Waanyi Governing Tribal,6046;Council Aboriginal Corporation,6084;Waanyi Nation,6254;Murrawarri Republic,6356"
https://www.680news.com/2020/09/07/it-is-urgent-commissioner-calls-for-indigenous-bodies-to-oversee-police/,"Canadian Press,508;Public Safety Canada,1330;Justice Department,1905;First Nations,2101;George Floyd,2587;Eishia Hudson,2912;Jason Collins,2940;Stewart Andrews,2974;Regis Korchinski-Paquet,3166;Special Investigation Unit,3360;New Brunswick,3617;Chantel Moore,3659;Chief Arlen Dumas,4175;Manitoba Chiefs,4210;First Nations,4229;Aboriginal Justice Inquiry,4340;Helen Betty Osborne,4405;John Joseph Harper,4497;First Nations,5216;Canadian Press,5293;Geraldine Malone,5364"
https://www.cbc.ca/news/canada/north/long-reads-cbc-north-best-1.5397953,"Lyubov Orlova,348;Transport Canada,398;Randi Beers,612;Emmanuel Vachon,867;Fort Providence,888;Emmanuel Vachon,951;Fort Providence,1057;Cominco' Loftus,1323;Angela Gzowski,1402;Hard Rock Saloon,1672;Tammy Roberts,1862;Tammy Roberts,1968;Justin Pigalak,2438;Thelon River,2763;Alex Hall,2973;Fort Smith,2987;Fort Good Hope,3269;Edward Kelly,3496;Fort Good Hope,3549;Square Mall,3645;Centre Square Mall,3849;Peter Mather,4245;Indigenous Yukon,4282;Pihoak Omilgoetok,4528;Cambridge Bay,4574;Cambridge Bay,4662"
https://www.hcn.org/issues/52.4/indigenous-affairs-wildlife-a-captive-orca-and-a-chance-for-our-redemption,"Miami Seaquarium,542;Vladimir Nabokov,962;Sally Horner,1077;Salish Sea,1733;Coast Salish,1903;Canadian Department,2349;Michael Bigg,2391;British Columbia,2792;Salish Sea,2906;Salish Sea,3054;Salish Sea,3490;Miami Seaquarium,3659;Convention Center,5977;Miami Art Basel,5998;Miami Beach,6195;Mike Lowry,8071;State Ralph Munro,8106;Russ Rector,8195;Endangered Species,8394;Hurricane Irma,8707;Justice Department Statistics,9966;Carlisle Indian Industrial School,10635;United States,10902;Murdered Indigenous,11094;Lummi Nation,11126;United Nations,12203;Intergovernmental Panel,12251;Climate Change,12269;Climate Change,12966;Western Hemisphere,13128;Salish Sea,16587"
