article_url,counts
https://www.brantfordexpositor.ca/news/local-news/number-of-police-street-checks-drops-significantly,"KILL#100##4#Brantford, Ontario, Canada#CA#CA08#43.1333#-80.2667#-561588;CRISISLEX_T03_DEAD#100##4#Brantford, Ontario, Canada#CA#CA08#43.1333#-80.2667#-561588;ARREST#2##4#Brantford, Ontario, Canada#CA#CA08#43.1333#-80.2667#-561588;SOC_GENERALCRIME#2##4#Brantford, Ontario, Canada#CA#CA08#43.1333#-80.2667#-561588;CRISISLEX_C07_SAFETY#2##4#Brantford, Ontario, Canada#CA#CA08#43.1333#-80.2667#-561588;"
https://www.chatelaine.com/living/politics/5-ways-to-make-sex-work-safer/,KILL#60##1#Canada#CA#CA#60#-96#CA;CRISISLEX_T03_DEAD#60##1#Canada#CA#CA#60#-96#CA;
https://lfpress.com/life/fashion-beauty/all-for-a-good-cause-purpose-led-brands-aim-to-put-philanthropy-first/wcm/b594acc5-d8d8-421e-86fa-c0c1f0fc8734,"KILL#15##4#Attawapiskat, Ontario, Canada#CA#CA08#52.9167#-82.4333#-560412;CRISISLEX_T03_DEAD#15##4#Attawapiskat, Ontario, Canada#CA#CA08#52.9167#-82.4333#-560412;"
https://www.mondaq.com/australia/Government-Public-Sector/898614/Waanyi-Nation-declares-its-independence-to-run-its-own-economy,"KILL#200##4#Lawn Hill, British Columbia, Canada#CA#CA02#53.4#-131.917#-567802;CRISISLEX_T03_DEAD#200##4#Lawn Hill, British Columbia, Canada#CA#CA02#53.4#-131.917#-567802;"
https://www.680news.com/2020/09/07/it-is-urgent-commissioner-calls-for-indigenous-bodies-to-oversee-police/,"ARREST#9#Floyd#1#United States#US#US#39.828175#-98.5795#US;CRISISLEX_CRISISLEXREC#9#Floyd#1#United States#US#US#39.828175#-98.5795#US;KILL#2#Indigenous#4#Quebec, Quebec, Canada#CA#CA10#47.5#-72#-571850;CRISISLEX_T03_DEAD#2#Indigenous#4#Quebec, Quebec, Canada#CA#CA10#47.5#-72#-571850;"
https://www.cbc.ca/news/canada/north/long-reads-cbc-north-best-1.5397953,KILL#10##1#Canada#CA#CA#60#-96#CA;CRISISLEX_CRISISLEXREC#10##1#Canada#CA#CA#60#-96#CA;CRISISLEX_T02_INJURED#10##1#Canada#CA#CA#60#-96#CA;CRISISLEX_T03_DEAD#10##1#Canada#CA#CA#60#-96#CA;CRISISLEX_T03_DEAD#10##1#Canada#CA#CA#60#-96#CA;
https://www.hcn.org/issues/52.4/indigenous-affairs-wildlife-a-captive-orca-and-a-chance-for-our-redemption,"KIDNAP#6#juvenile orcas#3#Washington, District Of Columbia, United States#US#USDC#38.8951#-77.0364#531871;KILL#5#orcas#1#United States#US#US#39.828175#-98.5795#US;CRISISLEX_T03_DEAD#5#orcas#1#United States#US#US#39.828175#-98.5795#US;KILL#12#orcas#1#United Kingdom#UK#UK#54#-4#UK;CRISISLEX_T03_DEAD#12#orcas#1#United Kingdom#UK#UK#54#-4#UK;KILL#2014##3#Miami, Florida, United States#US#USFL#25.7743#-80.1937#295004;CRISISLEX_T03_DEAD#2014##3#Miami, Florida, United States#US#USFL#25.7743#-80.1937#295004;CRISISLEX_T03_DEAD#2014##3#Miami, Florida, United States#US#USFL#25.7743#-80.1937#295004;KILL#2014##1#United States#US#US#39.828175#-98.5795#US;CRISISLEX_T03_DEAD#2014##1#United States#US#US#39.828175#-98.5795#US;CRISISLEX_T03_DEAD#2014##1#United States#US#US#39.828175#-98.5795#US;EVACUATION#6##3#Miami, Florida, United States#US#USFL#25.7743#-80.1937#295004;CRISISLEX_T01_CAUTION_ADVICE#6##3#Miami, Florida, United States#US#USFL#25.7743#-80.1937#295004;CRISISLEX_T09_DISPLACEDRELOCATEDEVACUATED#6##3#Miami, Florida, United States#US#USFL#25.7743#-80.1937#295004;KILL#12##3#Miami, Florida, United States#US#USFL#25.7743#-80.1937#295004;CRISISLEX_T03_DEAD#12##3#Miami, Florida, United States#US#USFL#25.7743#-80.1937#295004;ARREST#700#rate#1#Canada#CA#CA#60#-96#CA;KILL#6#children#1#Canada#CA#CA#60#-96#CA;CRISISLEX_T03_DEAD#6#children#1#Canada#CA#CA#60#-96#CA;ARREST#6#children#1#Canada#CA#CA#60#-96#CA;"
https://www.timescolonist.com/news/local/head-of-sea-lion-seen-in-vic-west-likely-taken-as-trophy-critic-1.24134123,KILL#77##1#Canada#CA#CA#60#-96#CA;CRISISLEX_CRISISLEXREC#77##1#Canada#CA#CA#60#-96#CA;CRISISLEX_T02_INJURED#77##1#Canada#CA#CA#60#-96#CA;CRISISLEX_T03_DEAD#77##1#Canada#CA#CA#60#-96#CA;CRISISLEX_T03_DEAD#77##1#Canada#CA#CA#60#-96#CA;
https://www.ledevoir.com/opinion/editoriaux/572177/femmes-autochtones-des-morts-qu-on-ignore,KILL#261##1#Canada#CA#CA#60#-96#CA;
https://news.yahoo.com/joyce-echaquan-pm-trudeau-decries-161811714.html,KILL#12##1#Canada#CA#CA#60#-96#CA;CRISISLEX_T03_DEAD#12##1#Canada#CA#CA#60#-96#CA;
